NomStructure ; TypeStructure ; AdresseStructure ; CodePostalStructure ; VilleStructure ; PaysStructure ; NomService ; SujetStage ; DateDebutStage ; DateFinStage ; OrigineStage ; CodePostalEtudiant ; VilleEtudiant ; LibelleEtape ; FonctionsEtTaches ; Details ; Annee 
 SAS Nexus Smart ; Entreprise privée ; 6 rue Luce de Casabianca ; 20600 ; Bastia ; France ; Nexus Smart ; Développement d'application mobile iOSObjectif du projet :Améliorer les tests matériels et les développer.Réaliser une application plus flexible et facilement exportable. ;18/01/2021;18/06/2021; réseau de connaissance ; 20600 ; Bastia ; MASTER-2-INFORMATIQUE-PARCOURS-DEVELOPPEUR-FULL-STACK ; Réaliser une application mobile iOS intégrant : - la localisation (traduire) facilement le contenu - d’être utilisée en marque blanche- les tests matériels existants sur l’application Volpy- de nouveaux tests spécifiques iOS ; Afin d’améliorer l’expérience utilisateur, améliorer le prix de reprise proposé, réduire le taux de recotation, permettre des analyses et des innovations plus poussées, il est intéressant pour la société d’étudier ce type de projet.Il est donc demandé au stagiaire :- d’être opérationnel sur le développement d’une application iOS via une formation interne- d’intégrer à cette application les éléments de localisation et de marque blanche afin de permettre une utilisation plus large du produit.- d’intégrer dans un second temps l’ensemble des tests matériel existant dans l’application mobile Volpy actuelle afin d’obtenir une analyse des composants et des possibilités- de mettre en œuvre ensuite de nouveaux tests matériels afin de répondre aux objectifs ; 2020/2021 
 RDO SERVICES ; Entreprise privée ; 5 rue des oliviers ; 20137 ; Porto-Vecchio ; France ; RDO SERVICES ; Etude et Développement du Back Office pour le porte monnaie électronique adduniti. ;01/02/2021;30/07/2021; réseau de connaissance ; 20135 ; Conca ; MASTER-2-INFORMATIQUE-PARCOURS-DEVELOPPEUR-FULL-STACK ; - Analyse de l'existant,- Analyse des besoins, - Développement d'un POC (Proof Of Concept en ASP.NET), - Installation et paramétrage d'un serveur de test pour le POC, - Validation du POC, - Développement du backoffice (ASP.NET), - Mise en production du backoffice. ; Le backoffice sera l'outil de surveillance et de paramétrage pour le porte-monnaie électronique adduniti. ; 2020/2021 
 NUBEUS ; Entreprise privée ; TERRASSES DU PARC H2 ; 20167 ; SARROLA CARCOPINO ; France ;  ; Développement de solutions numériques et d'une application web ;10/02/2021;31/07/2021; candidature spontané ; 20167 ; mezzavia ; MASTER-2-INFORMATIQUE-PARCOURS-DEVELOPPEUR-FULL-STACK ; Assistance à un ingénieur développement web pour une application web ; Création, exploitation d'un QRcode, géolocalisation et identification de l'utilisateur, traitement de données  ; 2020/2021 
 Sarl Art et styles ; Non connu ; Rn 193 Lieu dit Ceppe  ; 20620 ; Biguglia ; France ; Informatique ;  ERP : améliorer les process d'approvisionnement et de logistique ;16/02/2021;16/08/2021; réponse à une offre de stage ; 20218 ; Corse ; MASTER-2-INFORMATIQUE-PARCOURS-DEVELOPPEUR-FULL-STACK ; L’objectif est de développer de nouvelles fonctionnalités dans l’ERP pour améliorer les process de l’entreprise :- Analyse des besoins / problèmes utilisateurs- Modélisation / planification du développement- Programmation et tests- Mise en production- Gestion des bases de données ; L’ERP est l’outil de pilotage des process de l’entreprise pour gérer :les commandes clientsles approvisionnements auprès des fabricantsla logistique (réception marchandises, stockage, préparation et expédition des commandes etc…)Pour améliorer l’ERP, plusieurs développements sont nécessaires :refonte de l’interface de gestion des produits (création, modification, suppression des produits, en lien avec les stocks, les approvisionnements et les commandes clients)création d’une interface de gestion électronique des approvisionnements auprès des fabricants (génération d’un formulaire web de demande de fabrication, avec interactions depuis le formulaire entre le fabricant et le responsable des approvisionnements, sans échange de documents PDF/Word/Excel par mail) ; 2020/2021 
 CORSICA FERRIES ; Entreprise privée ; 5 bis rue Chanoine Leschi ; 20200 ; BASTIA ; FRANCE ; service de marchés publics- services techniques ; Devops et cloud ;10/01/2022;10/06/2022; réponse à une offre de stage ; 20600 ; bastia ; MASTER-2-INFORMATIQUE-PARCOURS-DEVELOPPEUR-FULL-STACK ; Devops et cloud ; Devops et cloud ; 2021/2022 
 Bouygues Bâtiment Grand Ouest ; Entreprise privée ; 24 mail pablo picasso ; 44007 ; Nantes  ; France ; S3EB - Direction Immotique ; Développement d'une plateforme de services destinée aux occupants d'un smart building ;21/02/2022;19/08/2022; réponse à une offre de stage ; 20250 ; Corte ; MASTER-2-INFORMATIQUE-PARCOURS-DEVELOPPEUR-FULL-STACK ; Analyse du besoinRéalisation d’un cahier des charges et des livrables du projetGestion de projet Développement web full stack HTML5 CSS, JAVASCRIPTLangage et framework Back-end à définirGestion de base de données, type à définirInteraction avec API REST VayandataTests fonctionnels ; Le projet consiste à développer une plateforme de services destinée aux occupants du bâtiment.La structure de celle-ci devra permettre un déploiement  de type SaaS hébergé sur internet ou bien un déploiement « on premise » avec hébergement sur le réseau interne du client.Celle-ci sera développée en différents livrables avec pour objectif les fonctions suivantes :-Gestion des droits d’accès-Affichage d’informations sur le bâtiment-Interaction avec l’API du bâtiment (Linksper) :- - Gestion des pièces et affichage des informations de celle-ci (envoi de commandes d’éclairage, gestion de la consigne de chauffage, des volets)- - Comptage de personnes dans le restaurant d’entreprise avec affichage dynamique-Dialogue avec des API externes (type météo, transports en commun etc) ; 2021/2022 
 Université de Corse - UMR SPE  ; Administration publique d'état ; Campus Grimaldi ; 20250 ; Corte ; France ; équipe SISU ; L’objectifs du stage est de lister les méthodes et algorithmes de gestions de conflits entre agents virtuels. Dans un premier temps, il sera indispensable de comprendre la terminologie et de bien distinguer les approches de gestion de conflits, de négociations et de partage de ressources. Ensuite, il faudra implémenter des algorithmes sélectionnés dans un logiciel multi-agent (NetLogo, Gama) afin de faire des comparaisons. ;16/01/2023;16/06/2023; réseau de connaissance ; 20290 ; Lucciana ; MASTER-2-INFORMATIQUE-PARCOURS-DEVELOPPEUR-FULL-STACK ; Développeur, tâches : état de l’art, développement, comparaison de méthodes, etc. ; Ce stage se déroule dans le cadre du projet informatique SISU. Il répond à un besoin de pouvoir modéliser sous forme d’agent des entités en contradiction dans leurs attentes comme par exemple les pêcheurs et les gestionnaires. C’est un élément central dans toute démarche d’aide à la prise de décision. ; 2022/2023 
 SARL Neuromediasoft  ; Entreprise privée ; Rt de saint pancrace  ; 20250 ; Corte  ; France ; Développement ; Développement et support d’applications web  ;05/01/2023;25/07/2023; réponse à une offre de stage ; 20090 ; Ajaccio ; MASTER-2-INFORMATIQUE-PARCOURS-DEVELOPPEUR-FULL-STACK ; Proposition ergonomie et design Développement Backend Support utilisateurs Tests et recettes des développements  ; Depuis 5 ans nous sommes concentrés sur le développement d'un logiciel éducatif Creadoc for School destiné pour les enseignants que nous venons de commercialiser en août. Nous disposons de nos propres serveurs mais nous faisons également appel aux services OVH Cloud et Firebase pour permettre une scalabilité et une sécurité de haut niveau à notre architecture. L'outil est désormais utilisé dans de nombreux pays et comporte des innovations de portée mondiale. Nous travaillons essentiellement sur nodejs, angularjs, du HTML et du CSS et un tout petit peu de PHP. Admin de gestion des utilisateurs et des licences, admin de gestion des ressources, gestion des statistiques, une API, et un service de partage (classe en ligne privé). ; 2022/2023 
 Air Bus defence and space SAS ; Entreprise privée ; Air Bus defence and space, 31 rue des cosmonautes ; 31402 ; Toulouse ; France ; Informatique ; Recueillir le besoin des utilisateurs ainsi que de mettre en place des systèmes d'informations afin d'automatiser certains processus ;06/02/2023;04/08/2023; candidature spontané ; 20600 ; Bastia ; MASTER-2-INFORMATIQUE-PARCOURS-DEVELOPPEUR-FULL-STACK ; Activités confiées :• Acquérir la connaissance et la maîtrise des outils existants• Etablir un recueil de besoins auprès des futurs utilisateurs des solutions• Identifier et proposer de nouveaux axes de développement des outils existants• Identifier et proposer de nouveaux outils en adéquation a ; Recueillir le besoin des utilisateurs ainsi que de mettre en place des systèmes d'informations afin d'automatiser certains processus ; 2022/2023 
 SARL Neuromediasoft  ; Entreprise privée ; Rt de saint pancrace  ; 20250 ; Corte  ; France ; Développement ; Développement et support d’applications web ;05/01/2023;25/07/2023; réponse à une offre de stage ; 20290 ; Borgo ; MASTER-2-INFORMATIQUE-PARCOURS-DEVELOPPEUR-FULL-STACK ; Proposition ergonomie et designDéveloppement BackendSupport utilisateursTests et recettes des développements ; Depuis 5 ans nous sommes concentrés sur le développement d'un logiciel éducatif Creadoc for School destiné pour les enseignants que nous venons de commercialiser en août. Nous disposons de nos propres serveurs mais nous faisons également appel aux services OVH Cloud et Firebase pour permettre une scalabilité et une sécurité de haut niveau à notre architecture. L'outil est désormais utilisé dans de nombreux pays et comporte des innovations de portée mondiale. Nous travaillons essentiellement sur nodejs, angularjs, du HTML et du CSS et un tout petit peu de PHP. Admin de gestion des utilisateurs et des licences, admin de gestion des ressources, gestion des statistiques, une API, et un service de partage (classe en ligne privé). ; 2022/2023 
 BNP PARIBAS CARDIF ; Entreprise privée ; 20/22 Rue de Clichy  ; 75009  ; PARIS ; France ;  ; Développement de proximité ;01/02/2023;31/07/2023; réseau de connaissance ; 75014 ; Paris ; MASTER-2-INFORMATIQUE-PARCOURS-DEVELOPPEUR-FULL-STACK ; Recueillir les besoins auprès de l'actuariat, rédiger les expressions de besoin, réaliser les recettes et assurer la conduite de projet.Développement et maintenance d'outils développés en Python. ; Au sein de l'équipe MOA Quants & Actuariat, ils ont  une activité importante de développement d'outil informatique de proximité:Développer des outils en Python. Travailler en proximité des utilisateurs. Les membres de l'équipe doivent comprendre le besoin des utilisateurs, être capable de rédiger un document simple et clair, être capable de développer les évolutions demandées et assurer le support aux utilisateurs une fois la mise en production réalisée. ; 2022/2023 
 Klee Group ; Non connu ; Klee Group, Rue de la Boursidière Bat.N ; 92350 ;  Le Plessis-Robinson ; France ;  ; En tant que stagiaire, l'étudiant intégrera l'équipe de développement pour contribuer à la création et à la mise en place de nouvelles fonctionnalités pour les sites web et applications des clients de Klee Group. Il sera impliqué dans la conception, le développement et la mise en ligne de projets innovants utilisant les dernières technologies web. ;13/02/2023;14/07/2023; réponse à une offre de stage ; 20250 ; CORTE ; MASTER-2-INFORMATIQUE-PARCOURS-DEVELOPPEUR-FULL-STACK ; Développer les nouveaux usages (collaboratif, réseaux sociaux), les nouveaux canaux (smartphones, tablettes, objets connectés) et les nouvelles expériences utilisateurs. L'étudiant gèrera la mise en place de nouvelles fonctionnalités pour les sites web et les applications des clients. ; Dans le cadre de ce stage, l'étudiant aura l'occasion de participer à la conception et à la création de sites web en utilisant les technologies suivantes : JavaScript, HTML5, CSS3, PHP, Symfony, Drupal, Angular, Vue.js, React.js. il utilisera également le CMS JPlatform de l'éditeur Jalios pour gérer les contenus des sites web. Il sera impliqué dans toutes les étapes du processus de développement, de la conception initiale à la mise en ligne du site. Il aura aussi l'opportunité de travailler avec des outils de gestion de projet tels que Jira, Confluence, Git, Jenkins et de découvrir les pratiques de DevOps pour gérer efficacement les projets de développement. ; 2022/2023 
 BPCE Solutions informatiques ; Entreprise privée ; 182 Avenue de France ; 75013 ; Paris ; France ; Ma banque en ligne mobile ; Développeur android ;27/02/2023;25/08/2023; réponse à une offre de stage ; 20250 ; CORTE ; MASTER-2-INFORMATIQUE-PARCOURS-DEVELOPPEUR-FULL-STACK ; Au sein de la Plateforme Espace client, Data, IA, vous rejoignez le produit Ma banque en ligne mobile pour être en charge de différents développements Android, plus ou moins complexes, au sein de l'équipe Cocooning, touchant ainsi à toutes les fonctionnalités de l'application mobile. ; Dans le cadre d'une formation informatique d'un niveau Bac+3 à Bac+5, vous recherchez un stage dans l'idéal de 6 mois afin de développer vos compétences.Vous avez connaissance du développement Kotlin, Java, Rx et Coroutines. Vous maîtrisez les outils Confluence et Jira.De plus, vous savez travailler en équipe. Vous êtes enfin ouvert(e) aux remarques pouvant vous aider à vous améliorer sur la méthode de programmation. ; 2022/2023 
 Association Tlsprod LalaChante ; Association ; 17 rue des Jumeaux ; 31200  ; Toulouse ; France ; IT ;  Web app interne dédiée à la gestion social Média et à la relation client ;27/02/2023;30/06/2023; réponse à une offre de stage ; 20250 ; Corte ; MASTER-2-INFORMATIQUE-PARCOURS-DEVELOPPEUR-FULL-STACK ; Développer une application web Front/Back ; LARAVEL - HTML – CSS – JS – PHP - Ajax - SQL -  Nouvelles fonctionnalités, intégration modules Api tierce, gestion sécurité, scrum ; 2022/2023 
 UMR CNRS 6134 SPE ; Administration publique d'état ; Av. du Neuf Septembre ; 20250 ; CORTE ; FRANCE ; Informatique ; Ce stage s'inscrit dans le projet ANR SAPHiR visant à proposer de nouvelles méthodes de prévision d'événements météorologiques rares et extrêmes à haute résolution. Le stagiaire aura deux missions complémentaires : développer des codes informatiques basés sur des techniques de Deep Learning pour prédire des séries temporelles environnementales, et réaliser une application Web/mobile pour la visualisation grand-public des données et résultats de simulation. ;20/03/2023;20/08/2023; réponse à une offre de stage ; 20167 ; sarrola carcopino ; MASTER-2-INFORMATIQUE-PARCOURS-DEVELOPPEUR-FULL-STACK ; Développer des codes informatiques permettant de prédire des séries temporellesenvironnementales et réalise rune application multi-plateforme pour la visualisation grand-public des données et résultats de simulation. ; Ce stage s’inscrit dans le cadre du projet ANR SAPHiR1 (“Sensor Augmented weather Prediction at HIgh Resolution”) coordonné par le laboratoire Sciences Pour l’Environnement (SPE) UMR CNRS 6134. Ce programme scientifique consiste à proposer de nouvelles méthodes de prévision d’événements météorologiques rares et extrêmes à haute résolution spatiale et temporelle. Dans ce contexte, deux missions complémentaires sont envisagées, la première orientée analyse de données et Machine Learning (ML), la seconde orientée ingénierie logicielle.Il est encadré par Christophe Paoli, Marie-Laure Nivet et Paul-Antoine Bisgambiglia ; 2022/2023 
 Alteca ; Non connu ; 123 boulevard de Stalingrad  ; 69100 ;  Villeurbanne ; France ;  ;"  stage "" Développeur Fullstack PHP/VUE.JS (F/H)"" en fin d'études pour intervenir sur la partie front et back d'une application Web d'un de nos clients dans le cadre d'une pré-embauche. ";09/01/2024;09/07/2024; réponse à une offre de stage ; 20250 ; Corte ; MASTER-2-INFORMATIQUE-PARCOURS-DEVELOPPEUR-FULL-STACK ; Intégré(e) au centre de services Alteca Lyon, tu travailleras en collaboration avec le responsable technique et nos développeurs confirmés pour une mission orientée expérience utilisateur et fluidité de processus à destination de notre client grand compte de l'assurance. ; Tes principales missions :- Concevoir les composants à développer- Réaliser les développements de fonctionnalité métiers orientés FrontEnd et les composants de communication BackEnd- Mettre en œuvre des tests techniques et des recettes dans l'environnement intégré du client- Participer aux chantiers techniques (tirs de performance, montées de version, etc.) et aux déploiements automatisés- Intervenir lors des différentes cérémonies Agiles du projet (daily meeting, sprint planning, démo, etc.)Environnement: Secteur d'activité: Assurance. Vue.js, PHP Symfoni, GitLab, Environnement Agile ; 2023/2024 
 CNRS DELEGATION REGIONALE PROVENCE  ; Non connu ; 31, Chemin Joseph Aiguier  ; 13402 ; MARSEILLE CEDEX 09 ; fRANCE ; CNRS UMR 6134 SPE ; Développement d'une Interface Web pour la Simulation Numérique de Prévisions Météorologiques Haute Résolution ;02/01/2024;03/06/2024; réseau de connaissance ; 20240 ; Ghisonaccia ; MASTER-2-INFORMATIQUE-PARCOURS-DEVELOPPEUR-FULL-STACK ; L'objectif principal est de concevoir et de développer une interface web avancée pour des simulations numériques de prévisions météorologiques incendie en haute résolution. ; - La conception d'une architecture web robuste capable de gérer des flux de données volumineux et complexes.- L'intégration de fonctionnalités interactives pour la visualisation des données météorologiques et climatiques.- Le développement de modules pour l'analyse et l'interprétation des simulations numériques, y compris la prédiction des conditions propices aux incendies et leur simulation.- La mise en œuvre de méthodes de réanalyse pour raffiner les simulations et améliorer leur fiabilité.- L'automatisation des processus de simulation et de visualisation pour augmenter l'efficacité opérationnelle.- La garantie d'une expérience utilisateur fluide, y compris l'accessibilité sur divers appareils et plateformes. ; 2023/2024 
 Orange SA ; Entreprise privée ; 111 Quai du Président Roosevelt  ; 92130 ;  Issy-les-Moulineaux  ; France ; Département Run des Solutions Partagées ; Développement d'un outil visant a faciliter l'organisation de la vie d'équipe ;05/02/2024;02/08/2024; réponse à une offre de stage ; 31100 ; occitanie ; MASTER-2-INFORMATIQUE-PARCOURS-DEVELOPPEUR-FULL-STACK ; Conception logicielle et architecture Développement et intégration de tests et de déploiementCommunication et échange avec les utilisateurs et réponse a leurs besoins ; le projet porte a concevoir et développer ainsi que de tester et déployer un outil permettant defaciliter l'organisation de l'équipe tout en se concentrant sur l'expérience utilisateur et leursfeedbacks, les aspects sécurité, robustesse et facilite de mise a l'échelle de l'outil sont aussicritiques, il comprend la conception et la réalisation cote frontend et backend ainsi que lestests et le déploiement sur le cloud. ; 2023/2024 
 CAPGEMINI TECHNOLOGY SERVICES ; Entreprise privée ; 109 Avenue du Général Eisenhower ; 31036 ; TOULOUSE ; France ; CAPGEMINI TECHNOLOGY SERVICES ; Projet : E2EPLM CPAO ;05/02/2024;02/08/2024; réseau de connaissance ; 31400 ; Toulouse ; MASTER-2-INFORMATIQUE-PARCOURS-DEVELOPPEUR-FULL-STACK ; Intégrer une équipe de développement sur des technologies Java/Angular/Oracle en méthodologie SAFe, participer aux activités de développement, test et spécification, participer de manière active aux réunions de l’équipe pour la définition des activités à mener et leur planification . ; Connaissances suffisantes en développement pour monter en compétence sur les technologies utilisées au sein du projet , capacité à donner des points d’avancement clairs et concis, avec une estimation fiable du reste à faire sur ses activités , capacité à gagner en autonomie au cours de l’alternance et de participer aux discussions de conception au sein de l’équipe , prendre une posture de consultant auprès du client. ; 2023/2024 
 UMR CNRS 6134 SPE ; Non connu ; Campus Grimaldi, Bât PPDB, BP 52 ; 20250 ; Corte ; France ; Equipe FEUX ; Développements de programmes pour le pilotage automatique de drones et le traitement des images. ;22/01/2024;22/07/2024; réponse à une offre de stage ; 20250 ; Corte ; MASTER-2-INFORMATIQUE-PARCOURS-DEVELOPPEUR-FULL-STACK ; Travailler sur l’amélioration d’un outil intégrant le pilotage automatique de drones, le traitement des images en utilisant le SDK de DJI et une API REST. ; Une application Android permettant le calcul de la trajectoire d’un drone, l’acquisition d’images infrarouges radiométriques et le transfert de ces images sur un ordinateur a été développée en utilisant le SDK de DJI. Ce stage permettra son amélioration. Une API REST a également été réalisée. Ce stage permettra sa sécurisation. ; 2023/2024 
 UMR CNRS 6134 SPE ; Non connu ; Campus Grimaldi, Bât PPDB, BP 52 ; 20250 ; Corte ; France ; Equipe FEUX ; Caractérisation de la végétation à partir de points obtenus par le capteur LIDAR Zenmuse L1 DJI ;22/01/2024;22/07/2024; réponse à une offre de stage ; 20250 ; Corte ; MASTER-2-INFORMATIQUE-PARCOURS-DEVELOPPEUR-FULL-STACK ; Etudier les possibilités de caractérisation de la végétation à partir de points LIDAR obtenus par le capteur L1 DJI et la Lidar Toolbox de Matlab ; Le LIDAR Zenmuse L1 DJI est un équipement porté par le drone M300 qui permet d’acquérir des nuages de points avec une précision centimétrique. Cet équipement a été utilisé par les chercheurs travaillant sur la thématique de la mesure par capteurs portés par drone pour acquérir des points LIDAR sur de la végétation de maquis. Ce stage permettra de travailler sur le traitement de ces points par la Toolbox LIDAR de Matlab et le développement de programmes pour la caractérisation de la végétation. ; 2023/2024 
 Atos ; Entreprise privée ; Immeuble Archimède - Parc Eureka, 396 Rue du Mas de Verchant, 34000 Montpellier ; 34000 ; Montpellier ; France ; Développement ; Stage de fin d'études dans le cadre de mon Master 2 Full-Stack. Il est d'une durée de 6 mois maximum et commence fin janvier 2025. ;27/01/2025;31/07/2025; candidature spontané ; 2009 ; Ajaccio ; MASTER-2-INFORMATIQUE-P.-DEVELOPPEUR-FULL-STACK-WEB-MOBILE ; Stagiaire développeur full-stack.Développement d'applications dans divers langages de programmationl'intitulé du stage est : stage Développeur PHP (Atos) ; Développement d'applications dans divers langages de programmation.Intégration dans une équipe de développeurs.Apprentissage et utilisation de méthodes agiles.Utilisation d'outils de versionning.Observation et compréhension des divers besoins d'un utilisateur. ; 2024/2025 
 Thales Alenia Space ; Entreprise privée ; 5 allée des Gabians ; 06150 ; CANNES-LA-BOCCA ; France ; Strategy & Innovation 100 ; Développement d’une application web en angular au sein du FabLab ;03/02/2025;31/07/2025; réponse à une offre de stage ; 20250 ; Santo Pietro di Venaco ; MASTER-2-INFORMATIQUE-P.-DEVELOPPEUR-FULL-STACK-WEB-MOBILE ; Développer l'application. Innovation. Ajout de nouvelles fonctionnalités. Test avec les utilisateurs. ; Développement d’une application web en angular au sein du FabLab. Application utilisée pour l’utilisation de l’imprimante 3D, qui sert de liste d’attente d’impression, du fablab de Cannes. Proposition de nouvelles fonctionnalités pour l’application. Travaillez avec une équipe UX design, pour l’apparence de l’application. Contact direct avec les utilisateurs qui viennent au fablab pour utiliser les appareils. ; 2024/2025 
 ALTEN (ALTEN) ;  ; 65 AVENUE EDOUARD VAILLANT 92100 BOULOGNE-BILLANCOURT ;  ;  ; FRANCE ;  ; Développement d'application web  ;03/02/2025;01/08/2025; réponse à une offre de stage ; 20250 ; Corte ; MASTER-2-INFORMATIQUE-P.-DEVELOPPEUR-FULL-STACK-WEB-MOBILE ; Implémentation de fonctionnalités demandées avec les frameworks Spring et React.Implémentation des tests unitaires liés aux fonctionnalités implémentées.Participation aux cérémonies agiles. ; Le service Projet Structuré ARNAL d'ALTEN conçoit et développe plusieurs interfaces web pour le compte de la société ARNAL, basée à Sète. Ces solutions visent à optimiser la gestion du parc photovoltaïque du client, à superviser efficacement ses entrepôts et à assurer le suivi de ses conteneurs de fret.  ; 2024/2025 
 Redpill Group Ermes ; Entreprise privée ; 2 RUE DE LISBONNE, 75008 PARIS ; 75008 ; Paris ; France ; Data Ermes ; Mise en place et optimisation des tests automatisés pour renforcer les processus d’assurance qualité (QA) dans le développement logiciel. ;03/02/2025;31/07/2025; réponse à une offre de stage ; 93230 ; Romainville ; MASTER-2-INFORMATIQUE-P.-DEVELOPPEUR-FULL-STACK-WEB-MOBILE ; Analyse des besoins qualité, création de scripts de tests automatisés (UI, API, performance), mise en place de tests fonctionnels, validation des livrables via tests manuels et automatisés, rédaction de rapports, amélioration des pipelines CI/CD, définition des KPI, et création d’un dashboard QA. ; Analyse des besoins qualité : compréhension des spécifications fonctionnelles et techniques, identification des cas de test critiques.Mise en place de tests unitaires : développement de scripts de tests automatisés (UI, API, performance) avec des outils comme Selenium, Cypress, JMeter. Présentation des tests à l’équipe.Mise en place de tests fonctionnels automatisés.Validation des livrables : réalisation de tests manuels et automatisés, rédaction de rapports et proposition d’améliorations. Collaboration avec l’équipe Produit pour le traitement des anomalies.Amélioration des processus QA : participation à l’intégration des tests dans les pipelines CI/CD, définition des bonnes pratiques QA.Suivi des améliorations : définition des KPI et mise en place d’un dashboard de monitoring. ; 2024/2025 
 Smart Games ; Entreprise publique ; 570 ROUTE DE SAINT ANDRE ; 20620  ; BIGUGLIA  ; France ; Pote&Match ; Modélisation et développement de fonctionnalités sur l'application Pote&Match ;03/02/2025;31/07/2025; réponse à une offre de stage ; 60730 ; Sainte-geneviève oise ; MASTER-2-INFORMATIQUE-P.-DEVELOPPEUR-FULL-STACK-WEB-MOBILE ; Développement d'une fonctionnalité de quizz sur l'application. Modélisation des requis de la fonctionnalité de quizzMise en place de la base de donnéesDéveloppement d'une section d'administrationDéveloppement d'une fonctionnalité de diffusion sur écranMise en place de testsDocumentation ; Dans le cadre de la croissance de Pote&Match nous développons une offre B2B que nous proposons à des entreprises évoluant dans le monde du sport (bars sportifs, clubs de sports, médias sportifs, …). Notre offre permet à nos partenaires d’animer et de fidéliser leur communauté grâce à notre jeu. Notre ambition nous porte également à l’international, notamment le marché Nord Américain sur lequel nous allons nous déployer en 2025 avec en partenariat une grande chaîne de bars sportifs.Dans ce cadre, nous souhaitons agrémenter notre jeu de pronostics sportifs d’une feature de quiz, d'une fonctionnalité permettant la diffusion en direct de pages web liées à notre jeu sur les écrans (TV ou autres) de nos partenaires et préparer notre croissance, notamment à l’international. ; 2024/2025 
 CNRS - Université de Corse Pasquale Paoli - UMR SPE 6134 ; Non connu ; Avenue Jean Nicoli BP 52 ; 20250 ; CORTE ; FRANCE ; Technologies de l'information et de la communicati ; Titre : Modélisation et simulation DEVS aidée par l’IA générative. Exploiter les technologies d’IA générative, comme les GAN (Generative Adversarial Networks), les autoencodeurs variationnels (VAE) ou les transformateurs, pour aider à la création de modèles DEVS (atomiques et couplés) à partir de descriptions naturelles.  ;03/02/2025;03/07/2025; candidature spontané ; 20213 ; Penta di casinca ; MASTER-2-INFORMATIQUE-P.-DEVELOPPEUR-FULL-STACK-WEB-MOBILE ; Développement d’un schéma conceptuel pour la génération des modèles DEVS et SES à l’aide d’une IA générative. Implémentation d’un prototype. Documentation technique des solutions proposées. Présentation des résultats et des perspectives pour l'amélioration du processuc de modélisation. ;  L’objectif du stage est d’étudier les technologies courantes d’IA générative (notamment dans le langage Python) et de les intégrer dans le cadre de la génération de modèles DEVS et SES, avec une implémentation dans DEVSimPy. Même si le formalisme SES n’est pas encore implémenté dans DEVSimPy, l’étudiant devra proposer une solution IA pour générer une hiérarchie de systèmes basée sur SES. Ce travail vise à enrichir les outils de modélisation pour les systèmes complexes, en contribuant à la recherche dans ce domaine. ; 2024/2025 
 Laboratoire Stella Mare (Université de Corse / CNRS) ; Non connu ; UMS Stella Mare  Cordon Lagunaire de la Marana   lieu-dit U Casone   20620 Biguglia ; 20620 ; BIGUGLIA ; France ; pôle recherche ; Refonte de base de données et développement d’une application (front-end et back-end)de suivi d'espèces marines et terrestres ;03/02/2025;25/07/2025; réponse à une offre de stage ; 20620 ; Biguglia ; MASTER-2-INFORMATIQUE-P.-DEVELOPPEUR-FULL-STACK-WEB-MOBILE ; Analyse et conception d'une migration d'une base de données de suivi de comportement d'espèces marines et terrestres SQL vers NoSQL. Développement et conception d'une application web full-stack avec séparation du front-end et du back-end pour utiliser ces données. ; Le projet est divisé en trois étapes distinctes1 - Conception et mise en production d'une base de données NoSQL à partir d'une base de données SQL2 - Développement d'un backend pour rendre disponible la BDD3 - Développement d'une application web détachée pour accéder à l'API fournie par le backendSi l'ensemble de ses étapes sont terminées avant la fin du stage, le travail se centrera sur la composante scientifique du projet de Stella Mare par le biais par exemple :- d'une reconstitution des données perdues de comportements animaux grâce à des modèles de reconstitution de trajectoires- d'un état de l'art des modèles de reconstitution de trajectoires ; 2024/2025 
 UMR CNRS 6134 SPE, Université de Corse Pascal Paoli ; Association ; Campus Grimaldi, Bât. PPDB, BP 52 ; 20250 ; Corte ; France ;  UMR CNRS 6134 SPE ; Traitement de données à partir de LLM ;10/02/2025;27/06/2025; réponse à une offre de stage ; 20250 ; Corte ; MASTER-2-INFORMATIQUE-P.-DEVELOPPEUR-FULL-STACK-WEB-MOBILE ; Développeur et analyste de données ; Dans le cadre du sujet de thèse de G. Comiti, nous souhaitons réaliser un indicateur de qualité de vie, pour cela nous devons analyser et traiter des données, ce travail fait l’objet de ce sujet de stage. ; 2024/2025 
  ;  ;  ;  ;  ;  ;  ; Développement d'une stratégie de gestion d'énergie à l’aide de l’intelligence artificielle pour véhicules électriques à batteries hybridées ;03/03/2025;29/08/2025; réponse à une offre de stage ; 20250 ; Corte ; MASTER-2-INFORMATIQUE-P.-DEVELOPPEUR-FULL-STACK-WEB-MOBILE ; - Développement d’une ontologie pour modéliser les indicateurs d’état des batteries, le convertisseur DC-DC et les contraintes du véhicule. - Implémentation de règles expertes pour définir le comportement des batteries.- Validation via simulations et intégration en apprentissage semi-supervisé ; Le projet vise à optimiser la gestion d’énergie dans les véhicules électriques à batteries hybridées via une approche d’intelligence artificielle. L’objectif est d’améliorer la répartition d’énergie entre deux batteries afin d’optimiser le rendement du convertisseur DC-DC et prolonger la durée de vie des batteries. Le stage se concentre sur le développement d’une ontologie structurant les connaissances sur les batteries et le convertisseur, l’implémentation de règles expertes pour modéliser leur comportement et la validation du modèle via des simulations. À terme, cette ontologie sera intégrée à un apprentissage semi-supervisé et testée sur un prototype. ; 2024/2025 
